轻松愉悦,0.487*"终于" + 0.241*"严控" + 0.193*"幸福" + 0.010*"掉以轻心" + 0.009*"希望" + 0.005*"感谢" + 0.004*"致敬" + 0.004*"结束" + 0.003*"加油" + 0.003*"严惩"
美好期盼,0.260*"早日" + 0.118*"希望_早日" + 0.108*"希望" + 0.105*"放松" + 0.086*"警惕" + 0.079*"感动" + 0.056*"放松_警惕" + 0.044*"解除" + 0.042*"严防_严控" + 0.037*"心疼"
怀疑（美国,0.209*"担心" + 0.193*"瞒报" + 0.160*"没完没了" + 0.132*"放心" + 0.128*"太好了" + 0.090*"太不容易" + 0.019*"感动" + 0.015*"辛苦" + 0.012*"致敬" + 0.011*"结束"
焦虑恐慌,0.313*"支持" + 0.253*"可怕" + 0.128*"赶紧" + 0.099*"早点" + 0.092*"担当" + 0.052*"希望_早点" + 0.037*"结束" + 0.004*"加油" + 0.003*"希望" + 0.002*"致敬"
担心关切,0.982*"加油" + 0.006*"掉以轻心" + 0.003*"希望" + 0.001*"努力" + 0.001*"挺住" + 0.001*"早日" + 0.001*"致敬" + 0.001*"终于" + 0.001*"恢复" + 0.000*"支持"
怀疑（美国,0.198*"隐瞒" + 0.154*"战疫" + 0.130*"恢复" + 0.126*"厉害" + 0.116*"为啥" + 0.100*"骄傲" + 0.059*"奉献" + 0.047*"开心" + 0.042*"严防" + 0.012*"严惩"
美好期盼,0.594*"希望" + 0.176*"结束" + 0.103*"快点" + 0.041*"啥时候" + 0.037*"快乐" + 0.032*"快点_结束" + 0.007*"恢复" + 0.001*"赶紧" + 0.000*"恭喜" + 0.000*"加油"
感动赞美,0.631*"辛苦" + 0.254*"感谢" + 0.079*"挺住" + 0.023*"严惩" + 0.001*"最美" + 0.001*"努力" + 0.001*"致敬" + 0.001*"希望" + 0.000*"太不容易" + 0.000*"恭喜"
轻松愉悦,0.473*"严防" + 0.203*"平安" + 0.165*"努力" + 0.073*"恭喜" + 0.046*"好不容易" + 0.023*"掉以轻心" + 0.004*"希望" + 0.001*"结束" + 0.001*"快点" + 0.001*"加油"
坚定信任,0.523*"致敬" + 0.070*"最美" + 0.070*"感恩" + 0.061*"嘲笑" + 0.043*"求求" + 0.037*"遥遥无期" + 0.035*"羡慕" + 0.034*"温暖" + 0.034*"万众一心" + 0.028*"奉献"
