,微博地址:,发布时间:,微博标题:,点赞数:,评论数,转发数,评论
0,https://m.weibo.cn/status/J6RhbzeDF?mblogid=J6RhbzeDF&luicode=10000011&lfid=1076032803301701,Tue Jun 16 07:44:14 +0800 2020,【北京：#严控高风险人员离京#，已出京的要及时通报当地】昨日，北京新冠肺炎疫情防控工作领导小组第六十九次会议召开。强调①要严格重点部位和重点人员管控。对确诊病例密接者进行集中医学观察。②对有确诊病例的农贸市场、菜市场等周边小区严格封闭管理，对小区居民进行居家观察并核酸检测。③严控高风险人员离京，已经出京的要及时通报当地。④从严加强社区防控工作。加强集中医学观察点管理。⑤做好学校防疫工作。⑥公交地铁要控制满载率，乘客要佩戴口罩。（北京日报）,2325,543,521,"['北京的朋友还是要加强防范，不能掉以轻心，在公共场合戴好口罩南京盐水鸭为北京烤鸭加油', '那高校毕业生为啥最近还要求返校呢', '有心惊报这样的搞事棍，时不时就会给你添点乱。老美的大使456月一直在鼓动一些组织搞搞事。不明白，可以去看我微博。', '这时候自觉就是这辈子对社会最大的贡献了', '我妈让我暑假留京别回家了']"
1,https://m.weibo.cn/status/J6QR441bO?mblogid=J6QR441bO&luicode=10000011&lfid=1076032803301701,Tue Jun 16 06:39:52 +0800 2020,【#美国新冠肺炎确诊超211万#】据美国约翰斯·霍普金斯大学疫情实时监测系统显示，截至美东时间6月15日下午5时33分，美国已有新冠病毒感染病例2110182例，其中包括死亡病例116081例。与该系统约24小时前的数据相比，美国新增感染病例18834例，新增死亡病例375例。（人民日报记者 郑琪）,3302,581,453,"['看美国的疫情麻木了，只是数字而已。北京的疫情让我焦心', '现在对疫情数字都无感了，到处的游行示威暴乱，让人感觉疫情好像都不存了似的。', '中国疫情快过去吧！中国加油', '这次疫情让世界知道了中国政府是全世界最靠谱政府 。希望全球疫情早日结束 都平安🙏', '我们都关心自己的北京，美国人的疫情已经不关心了。']"
2,https://m.weibo.cn/status/J6O72FzEz?mblogid=J6O72FzEz&luicode=10000011&lfid=1076032803301701,Mon Jun 15 23:41:00 +0800 2020,【#你好，明天#】“首都疫情形势十分严峻”，今天北京的新闻发布会如此强调。北京疫情卷土重来，确实让人揪心。作为政治中心、交通枢纽、超大城市，北京的防疫不能随意也不敢大意。当然，严阵以待不是要制造慌张，把漏洞堵得死一点，恰恰是为了尽快恢复正常秩序。病毒比想象得更狡猾，慎终如始周全应对，一起努力！,7561,1938,2149,"['加油，北京', '北京加油[加油][加油][加油]', '我们一起努力战胜疫情[好喜歡]', '北京会好起来的🙏🙏', '北京烤鸭加油']"
3,https://m.weibo.cn/status/J6NU40bmP?mblogid=J6NU40bmP&luicode=10000011&lfid=1076032803301701,Mon Jun 15 23:09:00 +0800 2020,【扩散！#四川急寻确诊病例同航班密接者#】6月15日，四川省雅安市石棉县报告1例省外输入新冠肺炎确诊病例。患者刘某6月9日7：30从北京首都国际机场乘海航HU7147航班，10：45到达成都双流国际机场，并于当日到达石棉县城。#急寻6月9日北京至成都HU7147航班乘客#，请乘坐该次航班的乘客及相关密切接触者，尽快前往当地社区卫生服务中心进行健康报备，如有发热、咳嗽等症状的人员尽快到就近的医疗机构发热门诊就诊。刘某返川后主要活动轨迹↓↓转发周知！,7787,1130,2666,"['感觉已经消失了很长一段时间的航班寻人又出现了', '一夜回到解放前', '这时候突然有点需要热搜', '航班不是都是实名制购票吗？', '报告，四川已经没有人戴口罩了']"
4,https://m.weibo.cn/status/J6NyooJuA?mblogid=J6NyooJuA&luicode=10000011&lfid=1076032803301701,Mon Jun 15 22:15:38 +0800 2020,【#四川确诊1例为北京确诊病例密接#，此前被诊断为疑似病例】据四川卫健委官网，6月15日，四川雅安市石棉县报告确诊1例新冠肺炎省外输入性病例。新增的1例新冠肺炎确诊病例6月9日自北京乘海航HU7147航班到成都，然后乘私家车返回雅安市石棉县。6月14日，患者在获知丈夫在北京被确诊为新冠肺炎的消息后前往石棉县人民医院就诊，被诊断为疑似病例，6月15日经核酸检测为阳性订正为确诊病例（普通型），患者目前正在石棉县人民医院（新冠肺炎定点救治医院）隔离治疗。经排查，病例现有密切接触者111人，四川省正严格按照有关法律法规要求开展密切接触者追踪管理、流行病学调查及消毒等工作。,5635,874,738,"['无大碍，稳住别浪', '四川太难了 不能出去遛熊猫了', '都去防进来的人了，没想到进口的物上携带病毒，其他进口的商品也要注意', '还是那句话：北京的，别出来了……以后……你们还是英雄', '不用控制北京人，没人跑，再说，跑哪儿能有北京的医疗条件好？']"
5,https://m.weibo.cn/status/J6NirrIyd?mblogid=J6NirrIyd&luicode=10000011&lfid=1076032803301701,Mon Jun 15 21:36:19 +0800 2020,【中国疾控：#北京疫情病例样本病毒全基因组测序和分析已完成#】目前，中国疾控中心已完成相关病例样本病毒全基因组序列测定和分析，初步结论已上报并正在积极开展病毒溯源。网页链接,3547,454,579,"['这么突然的发生，这个源头很重要', '只要还有一粒米.不往人多地方挤. 只要还有一滴油.待在家里不露头. 只要还有一颗葱.不往菜市场里冲. 只要还有一口气.待在家里守阵地. 我在家.我骄傲.我为祖国省口罩！ 北京加油！', '虽然这个时候说什么阴谋论不太合适 但 还是会让人想知道 为什么 是 北京', '北京加油！', '测定和分析速度好快，战疫工作人员辛苦了！感觉这次淡定多了，应对有方！']"
6,https://m.weibo.cn/status/J6MZ7qSL6?mblogid=J6MZ7qSL6&luicode=10000011&lfid=1076032803301701,Mon Jun 15 20:48:44 +0800 2020,【转扩！#北京4天新增79例都是谁去过哪#】近四天，北京市已新增确诊79例本土病例。这些病例都是谁？去过哪？ 戳图↓↓看#北京新增79例确诊病例情况汇总#。北京已进入非常时期，防控不能松懈，重视但不恐慌！转发，提醒，关注！,7675,1000,2609,"['这都是些大北京蔬菜食材的搬运工……希望不要为了生计而付出那么大的代价，早些控制起来', '不要慌不要乱，我们的医护很能干', '北京的朋友还是要加强防范，不能掉以轻心，在公共场合戴好口罩我在南京默默支持你们，陪你们共渡难关，等疫情结束欢迎来南京做客', '病毒不可怕，相信政府！党和政府专注解决国内问题，凝聚所有人的爱国力量！～网～信～先～锋～诈～骗～750亿，一年不立案了，高管外逃，资金去向不明，百姓的一生积蓄被骗一空，上海和安庆的两位受害人不堪长期折磨和压力自～尽了，永远看不到昭雪的一天！请求政府依法立案调查！', '#79岁老人遇车祸遭埋尸#我戎装保家卫国!我的父亲19年10月8号，河南光山泼河镇父亲18点12分遇交通事故离奇失踪，19点42分出现在相反方向约3公里的天网下，后又离奇失踪。家人20天后在距离约3公里的布满荆棘山丘里搜到被掩埋的尸体。截止20年6月15号，因案情疑点重重，老人还躺在县局解剖室…']"
7,https://m.weibo.cn/status/J6MrIF6CB?mblogid=J6MrIF6CB&luicode=10000011&lfid=1076032803301701,Mon Jun 15 19:26:27 +0800 2020,【#北京又有12地升级为疫情中风险#】根据国务院客户端小程序显示，北京东城区天坛街道，海淀区永定路街道、青龙桥街道，朝阳区十八里店，大兴区庞各庄镇、黄村镇、大兴天宫院街道、观音寺街道，丰台南苑街道、卢沟桥乡、大红门街道，石景山八宝山街道，已上调为疫情中风险地区。#北京市多地升级为中风险#,2586,672,806,"['北京加油！！！希望快快好起来注意防护呀！', '病毒不会自己有选择性的，出现在武汉北京这样的特大城市。下个目标会不会是上海广州深圳?北京一直在防湖北人，认为湖北人才是病毒，却对真正病毒源头海鲜市场视而不见，半年来毫无作为。真的太讽刺', '这是遍地开花了么', '加油加油加油加油北京一定要严防严控啊', '唉，天气又热，不容易，加油。']"
8,https://m.weibo.cn/status/J6MmO0K4m?mblogid=J6MmO0K4m&luicode=10000011&lfid=1076032803301701,Mon Jun 15 19:14:20 +0800 2020,【#北京朝阳十八里店升级为中风险#】根据国务院客户端小程序，6月15日，北京朝阳十八里店升级疫情中风险地区。,2059,425,336,"['北京加油啊', '请求北京高校毕业生暂缓返校！！！说是返校同学写自愿申请书，但是也没给我们推迟返校的选项啊！', '热干面熬过去了 豚骨拉面熬过去了 意大利面熬过去了 烤冷面也熬过去了 相信炸酱面也熬得过去', '？？？？！！为啥 求课代表 十八里店是有病例了吗', '停课@北京市教委']"
9,https://m.weibo.cn/status/J6LF2ddif?mblogid=J6LF2ddif&luicode=10000011&lfid=1076032803301701,Mon Jun 15 17:26:29 +0800 2020,【#北京所有社区村采取二级防控措施#，#北京所有社区进入一级工作状态#】①全市所有社区（村）都采取三级应急响应、二级防控措施、一级工作状态；②所有卡口均安排人员24小时值守，恢复体温检测，加强公共部位消杀；③暂停开放文体娱乐等室内活动场所；④本社区（村）居民凭出入证进入；⑤返京人员须核查行程轨迹，通过“京心相助”小程序填报个人信息；⑥快递、外卖、家政等生活服务业人员，以及其他非本社区（村）居民，要进行信息登记，核验北京健康宝“未见异常”状态，方可进入；⑦社区（村）通过张贴海报、公告等方式，加强宣传提示，引导居民主动配合社区防控、做好个人防护。转发提醒，战疫情！ 人民日报的微博视频,3317,712,1207,"['稳住！！！做好自我隔离。一定没事', '北京加油，早日抗议成功', '希望尽快给北京高校毕业生指出一条明路，返校在即，只有一天的开口，当前的状态去了回家就得隔离，工作考公全部失之交臂。给孩子一条活路吧~', '健身场所会关闭吗', '到这个时候还搞个对称？排比？']"
