,微博地址:,发布时间:,微博标题:,点赞数:,评论数,转发数,评论
0,https://m.weibo.cn/status/Iu1QmrVHa?mblogid=Iu1QmrVHa&luicode=10000011&lfid=1076032803301701,Thu Feb 13 18:11:03 +0800 2020,【人社部：#推迟部分职业资格考试报名#、#贡献突出抗疫专技人才可申高级职称#】人社部要求：避免组织举办专业技术人才聚集性活动。统筹做好上半年专业技术人员职业资格考试考务安排，部分考试将视疫情防控情况进行必要调整。推迟有关职业资格考试报名，暂缓职业资格纸质证书发放和补办。延长博士后创新人才支持计划、博士后科研工作站设站、博士后综合评估、国（境）外交流项目申报日期。对参与抗击新冠肺炎疫情的一线专业技术人才评审职称时予以倾斜，对做出突出贡献的开辟绿色通道，直接申报评审高级职称。（人民日报记者赵兵）,36084,5876,1009,"['虽然我想上学 但是要让我立即上学 我还是不愿意去', '支持，初级会计职称会推迟么', '我只关心计算机', '刚拿出来的书又放了回去', '我国《刑法》第四百零九条传染病防治失职罪：从事传染病防治的政府卫生行政部门的工作人员严重不负责任，导致传染病传播或者流行，情节严重的，处三年以下有期徒刑或者拘役。']"
1,https://m.weibo.cn/status/Iu1Kdgje4?mblogid=Iu1Kdgje4&luicode=10000011&lfid=1076032803301701,Thu Feb 13 17:55:54 +0800 2020,【北京一聚集性疫情：#一家7口不在意亲戚确诊全部感染#】13日，北京市新冠肺炎疫情防控工作新闻发布会通报了一起聚集性疫情案例。一家人在聚餐8天后被亲戚告知确诊患病，却完全不当回事，仍然正常上班、逛超市……家里有人发病仍忍着不去医院。直到几天后孩子和大人相继发病，去医院接受疾控人员调查时才说出与确诊病例一起吃过饭的情况。但为时已晚，一家7口人全部“中招”。北京日报都视频的微博视频,359361,15741,4928,"['害人害己', '能否让这群不在乎的人自费医疗？然后上征信', '一根藤上七憨批', '发病不去医院？？？？神经', '【不在意】？？？？']"
2,https://m.weibo.cn/status/Iu1Ju41xi?mblogid=Iu1Ju41xi&luicode=10000011&lfid=1076032803301701,Thu Feb 13 17:54:06 +0800 2020,【好消息！#武大人民医院首例新冠肺炎孕妇出院#】2月11日，经过17天的治疗，32岁的新冠肺炎孕妈妈程潇(化名)终于顺利出院，回家隔离休养，并将按照医嘱定时产检。目前，她腹中30周大的胎儿发育正常。准妈妈，加油！武汉大学人民医院首例新冠肺炎孕妇出院,14090,862,384,"['程潇这个名字', '我一直很好奇这种化名怎么起的？编者想到啥就起啥吗', '太好了！！希望能有越来越多的好消息！', '怀孕中抱着肚子瑟瑟发抖的我，终于看见了一个好消息', '真是太感动了 希望这个小孩以后长大了知道 有一群护士妈妈陪着他度过了好几个生死之夜。']"
3,https://m.weibo.cn/status/Iu1BtlkCG?mblogid=Iu1BtlkCG&luicode=10000011&lfid=1076032803301701,Thu Feb 13 17:34:22 +0800 2020,【#抗疫MV热血出征#：这一战，我们一定能赢！】 他们按下红手印，从全国各地驰援武汉；他们挺立在疫情面前，从死神手里抢人；他们争分夺秒，不分昼夜建好“火神”再战“雷神”…岂曰无衣，与子同袍！他们普通的中国人，更是勇敢逆行的“战士”。热血出征，卫我同胞。#武汉加油#，中国加油！ 人民日报的微博视频,49976,3238,9098,"['“中国总是被他们最勇敢的人保护的很好。 ——基辛格《论中国》', '疫情结束后希望年青人树立正确人生导向，把高薪留给一线科研人员，演艺明星是强不了国的。这次疫情，实业界科技界以亿为单位捐赠，演艺界除了韩红， 演艺明星们并末涌跃捐赠，体育明星也没见几个捐款的!。以前成名了捞够的都移民了。国家兴靠教育科技医疗，所以要树立全民崇尚医生，科学家，教师，军人', '岂曰无衣 与子同袍', '我们的敌人是可恶的病毒，不是中国人，更不是武汉人', '深藏功与名 冲冲冲 加油！']"
4,https://m.weibo.cn/status/Iu1xIeraA?mblogid=Iu1xIeraA&luicode=10000011&lfid=1076032803301701,Thu Feb 13 17:25:06 +0800 2020,【严打！#全国查扣假劣口罩1630余万只#】连日来，全国公安机关食药侦部门依法严厉打击制售假劣药品、医疗器械、医用卫生材料等违法犯罪行为，截至目前，各地公安机关共侦办涉疫情制售伪劣产品、假劣药品、医疗器械、医用卫生材料案件356起，抓获犯罪嫌疑人838名，刑事拘留355人，捣毁犯罪窝点389个，查扣假劣口罩1630余万只。（张璁）,13521,1874,891,"['现在疫情这么严重还做损人不利己的事', '发国难财biss', '严惩，加油', '这么多假口罩 真的是服了 什么钱都赚', '咱生产点真口罩会死吗……']"
5,https://m.weibo.cn/status/Iu1vyBhil?mblogid=Iu1vyBhil&luicode=10000011&lfid=1076032803301701,Thu Feb 13 17:19:48 +0800 2020,【#湖北130万只民用口罩投向市场#：#湖北投放130万只2元民用口罩#】按照湖北省指挥部部署，省市场监管局等部门积极协调武汉小药药医药科技有限公司，加强民用口罩市场供应，13日已筹集首批50万只民用口罩，通过武汉小药药公司销售网络投向武汉商务企业和零售药店。目前，已经有同济堂、好得快、中联等药房共1235家零售药店参加销售，并悬挂对应销售标识。据了解，武汉小药药公司采取补贴运费、税费等方式，按照进货价1 元/只供应零售药店，并要求零售药店张贴告示按 2 元/只平价向市场供应。第二批货源80万只民用口罩已经到货，除供应防疫部门外，其余将通过省内商超、药店渠道投放销售。第三批货源正在组织中。（吴杰鹏）,189390,11013,5090,"['一块钱的口罩都被罚了', '那为什么昨天那个卖一块一个的被罚款？', '所以洪湖市一元的口罩为什么要罚款', '一块钱一个被举报然后自己卖两块？？太魔幻了吧', '？？？涨价15％不可以，涨价100％就可以了？？？']"
6,https://m.weibo.cn/status/Iu1t8wpuL?mblogid=Iu1t8wpuL&luicode=10000011&lfid=1076032803301701,Thu Feb 13 17:13:50 +0800 2020,【#四川全省2月底前不开学#】13日，四川省教育厅发布通知，称根据当前疫情发展形势，四川省各级各类学校（高校、中小学、中职学校、幼儿园、校外培训机构）2020年2月底前暂不开学。具体开学时间将视疫情防控情况，经科学评估后确定，届时提前向社会公布。,23620,2282,687,"['虽然我嘴上说着想上学，但是要是让我马上去，我还是不愿意的。', '河南2月17号开学', '河南你在哪', '真好，希望河南看看', '请河南给一个准确日期']"
7,https://m.weibo.cn/status/Iu1oaBBUj?mblogid=Iu1oaBBUj&luicode=10000011&lfid=1076032803301701,Thu Feb 13 17:01:36 +0800 2020,"【最新详细数据！#全国新增15152例#：#全国累计治愈出院病例5911例#】2月12日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例15152例（含湖北临床诊断病例13332例），重症病例减少174例，新增死亡病例254例（湖北242例，河南2例，天津、河北、辽宁、黑龙江、安徽、山东、广东、广西、海南、新疆生产建设兵团各1例），新增疑似病例2807例。当日新增治愈出院病例1171例，解除医学观察的密切接触者29429人。截至2月12日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例52526例（其中重症病例8030例），累计治愈出院病例5911例，累计死亡病例1367例，累计报告确诊病例59804例，现有疑似病例13435例。累计追踪到密切接触者471531人，尚在医学观察的密切接触者181386人。湖北新增确诊病例14840例（武汉13436例），新增治愈出院病例802例（武汉538例），新增死亡病例242例（武汉216例），现有确诊病例43455例（武汉30043例），其中重症病例7084例（武汉5426例）。累计治愈出院病例3441例（武汉1915例），累计死亡病例1310例（武汉1036例），累计确诊病例48206例（武汉32994例）。新增疑似病例1377例（武汉620例），现有疑似病例9028例（武汉4904例）。为做好新型冠状病毒肺炎患者早诊早治，落实好湖北病例应收尽收、应治尽治工作，按照《新型冠状病毒肺炎诊疗方案（试行第五版 修正版）》，对湖北省以及湖北省以外其他省份的病例诊断标准进行了区分，湖北省增加了“临床诊断病例”分类，对疑似病例具有肺炎影像学特征者，确定为临床诊断病例，以便患者能及早按照确诊病例相关要求接受规范治疗，进一步提高救治成功率。目前，湖北省报告的13332例临床诊断病例纳入确诊病例统计,正加强病例救治，全力减少重症，降低病死率。累计收到港澳台地区通报确诊病例78例：香港特别行政区50例（死亡1例，出院1例），澳门特别行政区10例（出院2例），台湾地区18例(出院1例)。",4161,639,367,"['增多少不怕 真实就行', '要抵制抗疫战争中的形式主义', '为什么突然增加那么多了？有人科普一下吗？标准变了？', '治愈人数一定会越来越多！！！', '希望大换血，是一个转折点']"
8,https://m.weibo.cn/status/Iu1bGaqpj?mblogid=Iu1bGaqpj&luicode=10000011&lfid=1076032803301701,Thu Feb 13 16:30:49 +0800 2020,【#二手烟不是飞沫传播的方式#，但别扎堆抽烟！】中国疾控中心环境所研究员张流波介绍，根据目前的认知，主要的传播方式还是呼吸道传播、飞沫传播跟接触传播，二手烟不是飞沫传播的方式。但如果你吸了他的二手烟说明你们隔得很近，所以这种风险是我们需要避免的。在吸烟的时候，还是得保持一定的距离，别互相之间串在一块来抽烟，这个风险是有的。 人民日报的微博视频,12079,1476,491,"['禁止吸烟', '不管扎堆不扎堆都别抽烟了', '今天是我戒烟的第十九天 因为在家不能抽', '我也抽烟，但我从不在公共场合抽烟，都是一个人躲着抽', '吸烟时产生的烟雾颗粒非常小，飘散到空气中会产生气溶胶，因此，一方面，这种烟雾会飘的很远，还有，也会在空气中停留很久，不容易下沉，所以我们经常会在一些地方闻到烟味，但周围很远却没看到吸烟的人，就是这个原因。']"
9,https://m.weibo.cn/status/Iu18AEnJ4?mblogid=Iu18AEnJ4&luicode=10000011&lfid=1076032803301701,Thu Feb 13 16:23:13 +0800 2020,【一定勤洗手！#钟南山李兰娟团队均从患者粪便中分离出病毒#】钟南山、李兰娟院士团队近日分别从新冠肺炎患者的粪便样本中分离出新型冠状病毒，这一发现证实了排出的粪便中的确存在活病毒。专家表示，#新冠病毒是否存在粪口传播还需研究#，不要过度紧张或恐慌，一定要勤洗手、勤消毒，食物煮熟再吃，注意个人和家庭卫生，注意下水道的通畅及必要的消毒。,6561,836,849,"['有些人不要吃粑粑了哦', '这次疫情有6个提示：1.记得存钱，不然失业了吃喝都是问题2.能买房别犹豫，特殊时刻只能待自己房子3.好好工作，别抱怨辛苦，是你离不开工作4.自由职业者，在家办公不要羡慕，现在知道什么滋味了5.买辆车，关键时刻，还能保护你6.枪响之后没有赢家，只有平衡被打破和打破后的哀鸿遍野', '要抵制抗疫战争中的形式主义', '如果是真的，苍蝇才是最恐怖的', '一定勤洗手！！！！不能碰……💩']"
